tmstamp,loadcell_5f
2023-12-13 12:45:00,1968.2625
2023-12-13 12:50:00,1969.5125
2023-12-13 12:55:00,1969.5125
2023-12-13 13:00:00,1969.5125
2023-12-13 13:05:00,1983.2625
2023-12-13 13:10:00,1983.2625
2023-12-13 13:15:00,1968.2625
2023-12-13 13:20:00,1963.2625
2023-12-13 13:25:00,1963.2625
2023-12-13 13:30:00,1959.5125
2023-12-13 13:35:00,1958.2625
2023-12-13 13:40:00,1958.2625
2023-12-13 13:45:00,1964.5125
2023-12-13 13:50:00,1957.0125
2023-12-13 13:55:00,1957.0125
2023-12-13 14:00:00,1959.5125
2023-12-13 14:05:00,1982.0125
2023-12-13 14:10:00,1980.7625
2023-12-13 14:15:00,1978.2625
2023-12-13 14:20:00,1975.7625
2023-12-13 14:25:00,1974.5125
2023-12-13 14:30:00,1949.5125
2023-12-13 14:35:00,1947.0125
2023-12-13 14:40:00,1947.0125
2023-12-13 14:45:00,1947.0125
2023-12-13 14:50:00,1944.5125
2023-12-13 14:55:00,1944.5125
2023-12-13 15:00:00,1944.5125
2023-12-13 15:05:00,1942.0125
2023-12-13 15:10:00,1943.2625
2023-12-13 15:15:00,1943.2625
2023-12-13 15:20:00,1942.0125
2023-12-13 15:25:00,1942.0125
2023-12-13 15:30:00,1942.0125
2023-12-13 15:35:00,1940.7625
2023-12-13 15:40:00,1942.0125
2023-12-13 15:45:00,1942.0125
2023-12-13 15:50:00,1942.0125
2023-12-13 15:55:00,1940.7625
2023-12-13 16:00:00,1942.0125
2023-12-13 16:05:00,1942.0125
2023-12-13 16:10:00,1940.7625
2023-12-13 16:15:00,1940.7625
2023-12-13 16:20:00,1940.7625
2023-12-13 16:25:00,1940.7625
2023-12-13 16:30:00,1939.5125
2023-12-13 16:35:00,1938.2625
2023-12-13 16:40:00,1937.0125
2023-12-13 16:45:00,1935.7625
2023-12-13 16:50:00,1935.7625
2023-12-13 16:55:00,1934.5125
2023-12-13 17:00:00,1934.5125
2023-12-13 17:05:00,1934.5125
2023-12-13 17:10:00,1933.2625
2023-12-13 17:15:00,1932.0125
2023-12-13 17:20:00,1933.2625
2023-12-13 17:25:00,1932.0125
2023-12-13 17:30:00,1930.7625
2023-12-13 17:35:00,1929.5125
